date,site,EPTFUS,LASBOR,LASCIN,LASNOC,NYCHUM,PERSUB,TADBRA,noid,temp,humidity,pressure,wind,temp_max,temp_min,wind_direct,rain,night_span,weekday,year,month,day,season,julian,julian1,complete,month1,year1,year2,total_raw,EPTFUS_raw,LASBOR_raw,LASCIN_raw,LASNOC_raw,NYCHUM_raw,PERSUB_raw,TADBRA_raw,noid_raw,id_raw,total1_raw,total1_sd,EPTFUS_sd,LASBOR_sd,LASCIN_sd,LASNOC_sd,NYCHUM_sd,PERSUB_sd,TADBRA_sd,time
2017-01-03,Reccontrol,0,0,0,0.25,0,0,0.25,0.5,8.333333333,100,97.86161845,13.12,11.11111111,5.555555556,240,1.2192,14.21666667,Tuesday,2017,1,3,Winter,3,3,yes,Jan,2017,2016,4,0,0,0,1,0,0,1,2,2,4,0.281359906,0,0,0,0.070339977,0,0,0.070339977,Winter-2016
2017-01-04,Reccontrol,0.25,0,0,0.5,0,0,0,0.25,8.333333333,64,97.48913478,17.28,13.88888889,2.222222222,320,0,14.2,Wednesday,2017,1,4,Winter,4,4,yes,Jan,2017,2016,4,1,0,0,2,0,0,0,1,3,4,0.281690141,0.070422535,0,0,0.14084507,0,0,0,Winter-2016
2017-01-06,Reccontrol,0.5,0,0,0.5,0,0,0,0,0.555555556,68,98.33568857,11.84,3.888888889,-3.333333333,40,0.4064,14.18333333,Friday,2017,1,6,Winter,6,6,yes,Jan,2017,2016,2,1,0,0,1,0,0,0,0,2,2,0.141010576,0.070505288,0,0,0.070505288,0,0,0,Winter-2016
2017-01-07,Reccontrol,0,0,1,0,0,0,0,0,-5.555555556,72,98.91134515,19.04,-2.222222222,-8.888888889,20,1.3716,14.16666667,Saturday,2017,1,7,Winter,7,7,yes,Jan,2017,2016,1,0,0,1,0,0,0,0,0,1,1,0.070588235,0,0,0.070588235,0,0,0,0,Winter-2016
2017-01-10,Reccontrol,0,0,0,0.5,0,0,0,0.5,0,59,99.89334755,9.6,6.111111111,-6.111111111,220,0,14.11666667,Tuesday,2017,1,10,Winter,10,10,yes,Jan,2017,2016,2,0,0,0,1,0,0,0,1,1,2,0.141676505,0,0,0,0.070838253,0,0,0,Winter-2016
2017-01-12,Reccontrol,0.887096774,0,0,0.048387097,0,0,0,0.064516129,13.33333333,80,99.28382882,17.92,20.55555556,6.111111111,230,0,14.08333333,Thursday,2017,1,12,Winter,12,12,yes,Jan,2017,2016,62,55,0,0,3,0,0,0,4,58,62,4.402366865,3.905325445,0,0,0.213017752,0,0,0,Winter-2016
2017-01-13,Reccontrol,0.619047619,0,0.047619048,0.095238095,0,0,0,0.238095238,17.22222222,77,99.65631249,10.88,23.33333333,11.11111111,50,0,14.06666667,Friday,2017,1,13,Winter,13,13,yes,Jan,2017,2016,21,13,0,1,2,0,0,0,5,16,21,1.492890995,0.924170616,0,0.071090047,0.142180095,0,0,0,Winter-2016
2017-01-14,Reccontrol,0,0,0.222222222,0,0,0,0,0.777777778,9.444444444,70,99.92720971,13.28,13.88888889,5,40,0,14.03333333,Saturday,2017,1,14,Winter,14,14,yes,Jan,2017,2016,9,0,0,2,0,0,0,0,7,2,9,0.641330166,0,0,0.142517815,0,0,0,0,Winter-2016
2017-01-15,Reccontrol,0,0,0,0,0,0,1,0,11.11111111,80,99.31769097,10.24,15.55555556,6.111111111,70,0.0762,14.01666667,Sunday,2017,1,15,Winter,15,15,yes,Jan,2017,2016,1,0,0,0,0,0,0,1,0,1,1,0.071343639,0,0,0,0,0,0,0.071343639,Winter-2016
2017-01-16,Reccontrol,0,0,0.666666667,0,0,0,0,0.333333333,10,80,99.52086388,8,12.22222222,7.222222222,100,0,14,Monday,2017,1,16,Winter,16,16,yes,Jan,2017,2016,3,0,0,2,0,0,0,0,1,2,3,0.214285714,0,0,0.142857143,0,0,0,0,Winter-2016
